우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|163|0|3611011200107010003000001||로뎀빌딩Ⅰ|3611011200|고운동||고운동|0|1364|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|161|0|3611011200107010001000003||로뎀빌딩Ⅱ|3611011200|고운동||고운동|0|1363|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|136|0|3611011200201670000000004||명품프라자|3611011200|고운동||고운동|1|167|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|94|0|3611011200115330000000001||부성빌딩|3611011200|고운동||고운동|0|1533|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|146|0|3611011200201670000000001||삼성프라자|3611011200|고운동||고운동|1|167|01|0||
30063|세종특별자치시|Sejong-si|||||361104574747|만남로3길|Mannam-ro 3-gil|0|69|0|3611011200202390000000004||BT빌딩|3611011200|고운동||고운동|0|1806|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|233|0|3611011200106910000000001||GSD빌딩|3611011200|고운동||고운동|0|1038|01|0||
30063|세종특별자치시|Sejong-si|||||361104574747|만남로3길|Mannam-ro 3-gil|0|5|0|3611011200119010000000001||JJ빌딩|3611011200|고운동||고운동|0|1901|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|243|0|3611011200201050000000002||LSD빌딩|3611011200|고운동||고운동|0|1005|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|181|0|3611011200107470000000001||가락마을10단지|3611011200|고운동||고운동|0|1400|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|152|0|3611011200201380000000002||가락마을11단지|3611011200|고운동||고운동|0|1409|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|182|0|3611011200114010000000001||가락마을13단지|3611011200|고운동||고운동|0|1401|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|131|0|3611011200114030000000001||가락마을14단지|3611011200|고운동||고운동|0|1403|01|0||
